id,titre,categorie_id,classification_juridique,statut,fichier_telecharge,taille_fichier,type_mime,date_publication
1,20250817 113734 20140130 Acte Uniforme Révisé Relatif Au Droit Des Sociétés Commerciales Et Du Gie 3,Actes,Droit actes,En vigueur,actes_uniformes_ohada_20250817_113734_20140130_acte_uniforme_révisé_relatif_au_droit_des_sociétés_commerciales_et_du_gie_30_janvier_2014.pdf,541092,application/pdf,
2,20250817 114049 20101215 Acte Uniforme Révisé Portant Sur Le Droit Commercial Général 15 Décembre 20,Actes,Droit actes,En vigueur,actes_uniformes_ohada_20250817_114049_20101215_acte_uniforme_révisé_portant_sur_le_droit_commercial_général_15_décembre_2010.pdf,181542,application/pdf,
3,20250817 114114 20170126 Acte Uniforme Relatif Au Droit Comptable Et À Linformation Financière Sysco,Actes,Droit actes,En vigueur,actes_uniformes_ohada_20250817_114114_20170126_acte_uniforme_relatif_au_droit_comptable_et_à_linformation_financière_syscohada_26_janvier_2017.pdf,6455004,application/pdf,
4,20250817 114118 20101215 Acte Uniforme Révisé Portant Organisation Des Sûretés 15 Décembre 2010,Actes,Droit actes,En vigueur,actes_uniformes_ohada_20250817_114118_20101215_acte_uniforme_révisé_portant_organisation_des_sûretés_15_décembre_2010.pdf,128306,application/pdf,
5,20250817 114120 20150910 Acte Uniforme Portant Organisation Des Procédures Collectives 10 Septembre ,Actes,Droit actes,En vigueur,actes_uniformes_ohada_20250817_114120_20150910_acte_uniforme_portant_organisation_des_procédures_collectives_10_septembre_2015.pdf,642027,application/pdf,
6,20250817 114241 20030322 Acte Uniforme Relatif Aux Contrats Transport Marchandises Par Route 22 Mars,Actes,Droit actes,En vigueur,actes_uniformes_ohada_20250817_114241_20030322_acte_uniforme_relatif_aux_contrats_transport_marchandises_par_route_22_mars_2003.pdf,532001,application/pdf,
7,20250817 114245 20171123 Acte Uniforme Relatif À La Médiation 23 Novembre 2017,Actes,Droit actes,En vigueur,actes_uniformes_ohada_20250817_114245_20171123_acte_uniforme_relatif_à_la_médiation_23_novembre_2017.pdf,96743,application/pdf,
8,20250817 114247 20171123 Acte Uniforme Relatif Au Droit De Larbitrage 23 Novembre 2017,Actes,Droit actes,En vigueur,actes_uniformes_ohada_20250817_114247_20171123_acte_uniforme_relatif_au_droit_de_larbitrage_23_novembre_2017.pdf,111185,application/pdf,
9,20250817 121247 Acte Uniforme Ohada Procédures Collectives 2015,Actes,Droit actes,En vigueur,actes_uniformes_ohada_20250817_121247_acte_uniforme_ohada_procédures_collectives_2015.pdf,364635,application/pdf,
14,20231009 Note N03949Mbpedgidlcd Du 09 Octobre 2023 Tva Plateformes Numériques,Circulaires,Droit circulaires,En vigueur,circulaires_20250817_114214_20231009_note_n03949mbpedgidlcd_du_09_octobre_2023_tva_plateformes_numériques.pdf,4377599,application/pdf,
21,20190724 Ordonnance N 2019 679 Du 24 Juillet 2019 Portant Code Des Marchés Publics,Codes,Droit codes,En vigueur,codes_20250817_114640_20190724_ordonnance_n_2019_679_du_24_juillet_2019_portant_code_des_marchés_publics.pdf,3633008,application/pdf,
22,20210108 Régime Des Microentreprises Rme Annexe Fiscale 2021,Codes,Droit codes,En vigueur,codes_20250817_114308_20210108_régime_des_microentreprises_rme_annexe_fiscale_2021.pdf,2957639,application/pdf,
24,20221123 Loi N2022 975 Du 23 Novembre 2022 Portant Code Des Douanes,Codes,Droit codes,En vigueur,codes_20250817_114208_20221123_loi_n2022_975_du_23_novembre_2022_portant_code_des_douanes.pdf,725552,application/pdf,
32,20161108 Constitution De La République De Côte Divoire Du 8 Novembre 2016,Constitutions,Droit constitutions,En vigueur,constitutions_20250817_113719_20161108_constitution_de_la_république_de_côte_divoire_du_8_novembre_2016.pdf,574425,application/pdf,
34,20120906 Décret N 2012 867 Du 06 Septembre 2012 Portant Création Du Cepici,Décrets,Droit décrets,En vigueur,décrets_20250817_114056_20120906_décret_n_2012_867_du_06_septembre_2012_portant_création_du_cepici.pdf,539499,application/pdf,
40,114050 20240606 Loi N2024 352 Du 06 Juin 2024 Relative Aux Communications Électroniques,Lois,Droit lois,En vigueur,lois_ordinaires_20250817_114050_20240606_loi_n2024_352_du_06_juin_2024_relative_aux_communications_électroniques.pdf,7245985,application/pdf,20250817
41,114053 20231123 Loi N2023 901 Du 23 Novembre 2023 Portant Promotion Des Startups Numériques,Lois,Droit lois,En vigueur,lois_ordinaires_20250817_114053_20231123_loi_n2023_901_du_23_novembre_2023_portant_promotion_des_startups_numériques.pdf,3538850,application/pdf,20250817
42,114105 20130619 Loi N2013 450 Du 19 Juin 2013 Relative À La Protection Des Données Personnelles,Lois,Droit lois,En vigueur,lois_ordinaires_20250817_114105_20130619_loi_n2013_450_du_19_juin_2013_relative_à_la_protection_des_données_personnelles.pdf,6167480,application/pdf,20250817
43,114107 20130730 Loi N2013 546 Du 30 Juillet 2013 Relative Aux Transactions Électroniques,Lois,Droit lois,En vigueur,lois_ordinaires_20250817_114107_20130730_loi_n2013_546_du_30_juillet_2013_relative_aux_transactions_électroniques.pdf,3525707,application/pdf,20250817
44,114109 20130619 Loi N2013 451 Du 19 Juin 2013 Relative À La Lutte Contre La Cybercriminalité,Lois,Droit lois,En vigueur,lois_ordinaires_20250817_114109_20130619_loi_n2013_451_du_19_juin_2013_relative_à_la_lutte_contre_la_cybercriminalité.pdf,5728901,application/pdf,20250817
45,114126 20160726 Loi N 2016 555 Du 26 Juillet 2016 Relative Au Droit Dauteur Et Droits Voisins,Lois,Droit lois,En vigueur,lois_ordinaires_20250817_114126_20160726_loi_n_2016_555_du_26_juillet_2016_relative_au_droit_dauteur_et_droits_voisins.pdf,16666728,application/pdf,20250817
48,115139 20121213 Loi N2012 1128 Du 13 Décembre 2012 Organisation Collectivités Territoriales,Lois,Droit lois,En vigueur,lois_ordinaires_20250817_115139_20121213_loi_n2012_1128_du_13_décembre_2012_organisation_collectivités_territoriales.pdf,1720488,application/pdf,20250817
50,115323 20171207 Loi N2017 803 Du 07 Décembre 2017 Orientation Société Information,Lois,Droit lois,En vigueur,lois_ordinaires_20250817_115323_20171207_loi_n2017_803_du_07_décembre_2017_orientation_société_information.pdf,5652655,application/pdf,20250817
58,20180801 Ordonnance N2018 644 Du 1Er Août 2018 Instituant Lidentifiant Unique Des Entreprises,Ordonnances,Droit ordonnances,En vigueur,ordonnances_20250817_114058_20180801_ordonnance_n2018_644_du_1er_août_2018_instituant_lidentifiant_unique_des_entreprises.pdf,207903,application/pdf,
59,20240930 Ordonnance N2024 857 Du 30 Septembre 2024 Modifiant Lordonnance N2018 646 Portant Code Des ,Ordonnances,Droit ordonnances,En vigueur,ordonnances_20250817_113732_20240930_ordonnance_n2024_857_du_30_septembre_2024_modifiant_lordonnance_n2018_646_portant_code_des_investiss.pdf,908710,application/pdf,
63,114133 20151214 Accord De Bangui Instituant Loapi Révisé Le 14 Décembre 2015,Traités,Droit traités,En vigueur,traités_internationaux_20250817_114133_20151214_accord_de_bangui_instituant_loapi_révisé_le_14_décembre_2015.pdf,1255837,application/pdf,20250817
